,0
1751,521404
1752,1214053
1753,655937
1754,1451342
1755,4791831
1756,41273
1757,41631
1758,4534956
1759,161184
1760,885598
1761,788421
1762,4550516
1763,420403
1764,569960
1765,1253947
1766,1320548
1767,41428
1768,717217
1769,1399225
1770,252012
1771,4310515
1772,40735
1773,471089
1774,266797
1775,712697
1776,741627
1777,41614
1778,588369
1779,420292
1780,1252904
1781,1045103
1782,468192
1783,1047934
1784,84225
1785,1161905
1786,489292
1787,659651
1788,574888
1789,40899
1790,1162784
1791,911235
1792,1399029
1793,427903
1794,738917
1795,424517
1796,861640
1797,417841
1798,497704
1799,40711
1800,1118076
1801,4714537
1802,1047303
1803,994625
1804,430474
1805,41334
1806,4468104
1807,431184
1808,397166
1809,279826
1810,592251
1811,935012
1812,251966
1813,673653
1814,542239
1815,647565
1816,40723
1817,451092
1818,1008360
1819,732452
1820,901932
1821,1206884
1822,841927
1823,678677
1824,1103853
1825,1387030
1826,758003
1827,656534
1828,1399034
1829,41372
1830,1370458
1831,395683
1832,468180
1833,309330
1834,489348
1835,1302273
1836,317808
1837,958510
1838,651087
1839,803393
1840,893183
1841,1227958
1842,397544
1843,1388507
1844,4411766
1845,431153
1846,493798
1847,275099
1848,403820
1849,1197704
1850,573705
1851,1172457
1852,1216786
1853,41266
1854,1209747
1855,1038538
1856,1178208
1857,4359146
1858,1259222
1859,888081
1860,425964
1861,651309
1862,79968
1863,433763
1864,701709
1865,652834
1866,661146
1867,585350
1868,821115
1869,41452
1870,1049115
1871,540811
1872,41463
1873,932448
1874,41375
1875,420055
1876,1209570
1877,400114
1878,414676
1879,1113006
1880,40790
1881,1112779
1882,1008302
1883,40726
1884,1398881
1885,41303
1886,4667292
1887,439949
1888,256463
1889,41438
1890,77349
1891,574209
1892,423994
1893,672554
1894,799410
1895,838997
1896,414975
1897,1002545
1898,694525
1899,565050
1900,818666
1901,573984
1902,786927
1903,7654
1904,970133
1905,4421058
1906,TROUBLE
1907,1138850
1908,742321
1909,588133
1910,1227794
1911,843358
1912,490359
1913,40897
1914,841378
1915,1007708
1916,1115165
1917,1219017
1918,63986
1919,540779
1920,716857
1921,397406
1922,455497
1923,1338415
1924,580190
1925,817879
1926,438249
1927,943108
1928,927545
1929,414916
1930,565756
1931,423032
1932,776453
1933,1330397
1934,466430
1935,1235989
1936,893509
1937,717238
1938,40747
1939,103506
1940,797574
1941,927708
1942,842254
1943,843465
1944,1338096
1945,40690
